Title,Link,Date,Image
"Israel-Gaza live news: Mass grave being dug at Gaza hospital, as Israel confirms hostage death - BBC News",https://www.bbc.com/news/live/world-middle-east-67400490,No Date or Live Stream,https://m.files.bbci.co.uk/modules/bbc-morph-news-waf-page-meta/5.3.0/bbc_news_logo.png
Middle East - BBC News,https://www.bbc.com/news/world/middle_east,21 hours ago,https://static.files.bbci.co.uk/ws/simorgh-assets/public/news/images/metadata/poster-1024x576.png
Israel Gaza: Hospitals caught on front line of war - BBC News,https://www.bbc.com/news/world-middle-east-67401064,No Date or Live Stream,https://ichef.bbci.co.uk/news/1024/branded_news/8341/production/_131710633_gettyimages-1728080028.jpg
Israel's president denies it is striking Gaza's Al-Shifa hospital - BBC News,https://www.bbc.com/news/world-middle-east-67397963,No Date or Live Stream,https://ichef.bbci.co.uk/news/1024/branded_news/6249/production/_131716152_isaac_herzog_bbc.jpg
Why businesses are pulling billions in profits from China - BBC News,https://www.bbc.com/news/business-67353177,No Date or Live Stream,https://ichef.bbci.co.uk/news/1024/branded_news/618B/production/_131717942_gettyimages-180927635.jpg
Business - BBC News,https://www.bbc.com/news/business,12 minutes ago,https://static.files.bbci.co.uk/ws/simorgh-assets/public/news/images/metadata/poster-1024x576.png
Canadian peace advocate Vivian Silver confirmed killed in Hamas attack - BBC News,https://www.bbc.com/news/world-middle-east-67413993,No Date or Live Stream,https://ichef.bbci.co.uk/news/1024/branded_news/1374B/production/_131719697_viviansilver.jpg
Why Peter Nygard's son is supporting his accusers - BBC News,https://www.bbc.com/news/world-us-canada-67408881,No Date or Live Stream,https://ichef.bbci.co.uk/news/1024/branded_news/C9CD/production/_131716615_gettyimages-1779053694.jpg
US & Canada - BBC News,https://www.bbc.com/news/world/us_and_canada,an hour ago,https://static.files.bbci.co.uk/ws/simorgh-assets/public/news/images/metadata/poster-1024x576.png
"Israel-Gaza live news: Mass grave being dug at Gaza hospital, as Israel confirms hostage death - BBC News",https://www.bbc.com/news/live/world-middle-east-67400490#,No Date or Live Stream,https://m.files.bbci.co.uk/modules/bbc-morph-news-waf-page-meta/5.3.0/bbc_news_logo.png
Israel-Gaza: Why this war is different to the others - BBC News,https://www.bbc.com/news/world-middle-east-67404110,No Date or Live Stream,https://ichef.bbci.co.uk/news/1024/branded_news/9999/production/_131712393_755da67ddf4c350cdb1acb63a2aaec388f4a4d59.jpg
Israel confirms death of soldier held hostage in Gaza - BBC News,https://www.bbc.com/news/world-middle-east-67414353,No Date or Live Stream,https://ichef.bbci.co.uk/news/1024/branded_news/106E6/production/_131720376_noamarciano.jpg
McDonald's fires 18 people after BBC investigation - BBC News,https://www.bbc.com/news/business-67399801,No Date or Live Stream,https://ichef.bbci.co.uk/news/1024/branded_news/325F/production/_128559821_gettyimages-1238389987.jpg
McDonald's: 'There's disgusting behaviour at my branch' - BBC News,https://www.bbc.com/news/business-67093982,No Date or Live Stream,https://ichef.bbci.co.uk/news/1024/branded_news/A49D/production/_130414124_branchpa.png
McDonald's abused workers told to come forward by Rishi Sunak - BBC News,https://www.bbc.com/news/business-66247184,No Date or Live Stream,https://ichef.bbci.co.uk/news/1024/branded_news/6525/production/_130439852_gettyimages-1532474370.jpg
McDonald's workers speak out over sexual abuse claims - BBC News,https://www.bbc.com/news/business-65388445,No Date or Live Stream,https://ichef.bbci.co.uk/news/1024/branded_news/8E0A/production/_130326363_mcdonalds.png
US Army clears historical convictions of 110 black soldiers - BBC News,https://www.bbc.com/news/world-us-canada-67413832,No Date or Live Stream,https://ichef.bbci.co.uk/news/1024/branded_news/FE4E/production/_131720156_gettyimages-1791900335-1.jpg
What to expect when Biden and Xi Jinping meet in California - BBC News,https://www.bbc.com/news/world-us-canada-67381821,No Date or Live Stream,https://ichef.bbci.co.uk/news/1024/branded_news/178D7/production/_128517469_4f467d9ffee0bf35e10c34fa0354ea2e6db2ffc2.jpg
